product_id,title,brand,category,color,size,actual_price,current_price,status,imageurl
RR810,PRINTED PLACKET PLAIN POLO,rare rabbit,polo,dark blue,s,3499.00,1749.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/CASEA-DK-BLUE5213.jpg?v=1719991535
RR810,PRINTED PLACKET PLAIN POLO,rare rabbit,polo,dark blue,m,3499.00,1749.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/CASEA-DK-BLUE5213.jpg?v=1719991535
RR810,PRINTED PLACKET PLAIN POLO,rare rabbit,polo,dark blue,l,3499.00,1749.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/CASEA-DK-BLUE5213.jpg?v=1719991535
RR810,PRINTED PLACKET PLAIN POLO,rare rabbit,polo,dark blue,xl,3499.00,1749.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/CASEA-DK-BLUE5213.jpg?v=1719991535
RR811,CUT AND SEW COLORBLOCK POLO,rare rabbit,polo,off white,xs,3499.00,1889.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/tachou-mens-polo-off-white27624_b70dff5f-4bee-4f79-8a95-dadc3ac74742.jpg?v=1719483969
RR811,CUT AND SEW COLORBLOCK POLO,rare rabbit,polo,off white,s,3499.00,1889.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/tachou-mens-polo-off-white27624_b70dff5f-4bee-4f79-8a95-dadc3ac74742.jpg?v=1719483969
RR811,CUT AND SEW COLORBLOCK POLO,rare rabbit,polo,off white,m,3499.00,1889.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/tachou-mens-polo-off-white27624_b70dff5f-4bee-4f79-8a95-dadc3ac74742.jpg?v=1719483969
RR811,CUT AND SEW COLORBLOCK POLO,rare rabbit,polo,off white,l,3499.00,1889.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/tachou-mens-polo-off-white27624_b70dff5f-4bee-4f79-8a95-dadc3ac74742.jpg?v=1719483969
RR811,CUT AND SEW COLORBLOCK POLO,rare rabbit,polo,off white,xl,3499.00,1889.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/tachou-mens-polo-off-white27624_b70dff5f-4bee-4f79-8a95-dadc3ac74742.jpg?v=1719483969
RR811,CUT AND SEW COLORBLOCK POLO,rare rabbit,polo,off white,2xl,3499.00,1889.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/tachou-mens-polo-off-white27624_b70dff5f-4bee-4f79-8a95-dadc3ac74742.jpg?v=1719483969
RR812,PIMA COTTON POLO,rare rabbit,polo,pastel pink,xs,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-PASTEL-PINK01424.jpg?v=1707807268
RR812,PIMA COTTON POLO,rare rabbit,polo,pastel pink,s,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-PASTEL-PINK01424.jpg?v=1707807268
RR812,PIMA COTTON POLO,rare rabbit,polo,pastel pink,m,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-PASTEL-PINK01424.jpg?v=1707807268
RR812,PIMA COTTON POLO,rare rabbit,polo,pastel pink,l,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-PASTEL-PINK01424.jpg?v=1707807268
RR812,PIMA COTTON POLO,rare rabbit,polo,pastel pink,xl,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-PASTEL-PINK01424.jpg?v=1707807268
RR812,PIMA COTTON POLO,rare rabbit,polo,pastel pink,2xl,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-PASTEL-PINK01424.jpg?v=1707807268
RR813, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,blue,xs,2799.00,2015.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/PARE-BLUE18380.jpg?v=1721988323
RR813, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,blue,s,2799.00,2015.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/PARE-BLUE18380.jpg?v=1721988323
RR813, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,blue,m,2799.00,2015.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/PARE-BLUE18380.jpg?v=1721988323
RR813, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,blue,l,2799.00,2015.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/PARE-BLUE18380.jpg?v=1721988323
RR813, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,blue,xl,2799.00,2015.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/PARE-BLUE18380.jpg?v=1721988323
RR813, SMART POLO WITH EMBROIDERED LOGO,rare rabbit,polo,blue,2xl,2799.00,2015.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/PARE-BLUE18380.jpg?v=1721988323
RR814,PIMA COTTON POLO,rare rabbit,polo,dusky green,xs,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-GREEN01333.jpg?v=1707727344
RR814,PIMA COTTON POLO,rare rabbit,polo,dusky green,s,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-GREEN01333.jpg?v=1707727344
RR814,PIMA COTTON POLO,rare rabbit,polo,dusky green,m,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-GREEN01333.jpg?v=1707727344
RR814,PIMA COTTON POLO,rare rabbit,polo,dusky green,l,3499.00,2799.00,AVAILABLE,https://cdn.shopify.com/s/files/1/0752/6435/files/ROW-GREEN01333.jpg?v=1707727344
