product_id,title,brand,category,color,size,actual_price,current_price,status
MT12,Classic Black 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,classic-black,L,"₹1,500","₹1,500",AVAILABLE
MT12,Classic Black 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,classic-black,XL,"₹1,500","₹1,500",AVAILABLE
MT12,Classic Black 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,classic-black,2XL,"₹1,500","₹1,500",AVAILABLE
MT12,Classic Black 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,classic-black,3XL,"₹2,000","₹2,000",AVAILABLE
MT13,Heather Grey 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,heather-grey,XS,"₹2,300","₹1,800",AVAILABLE
MT13,Heather Grey 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,heather-grey,S,"₹2,300","₹1,800",AVAILABLE
MT13,Heather Grey 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,heather-grey,M,"₹2,300","₹1,800",AVAILABLE
MT13,Heather Grey 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,heather-grey,L,"₹2,300","₹1,800",AVAILABLE
MT13,Heather Grey 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,heather-grey,XL,"₹2,300","₹1,800",AVAILABLE
MT13,Heather Grey 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,heather-grey,2XL,"₹2,300","₹1,800",AVAILABLE
MT13,Heather Grey 100% Supima Cotton Mercerized. Pre-shrunk Classic V-Neck,MarchTee,v,heather-grey,3XL,"₹2,500","₹2,000",AVAILABLE
MT14,Pack of 3  Grey + Navy + Black 100% Supima Cotton Classic V-Neck,MarchTee,v,core-pack,XS,"₹5,300","₹4,500",AVAILABLE
MT14,Pack of 3  Grey + Navy + Black 100% Supima Cotton Classic V-Neck,MarchTee,v,core-pack,S,"₹5,300","₹4,500",AVAILABLE
MT14,Pack of 3  Grey + Navy + Black 100% Supima Cotton Classic V-Neck,MarchTee,v,core-pack,M,"₹5,300","₹4,500",AVAILABLE
MT14,Pack of 3  Grey + Navy + Black 100% Supima Cotton Classic V-Neck,MarchTee,v,core-pack,L,"₹5,300","₹4,500",AVAILABLE
MT14,Pack of 3  Grey + Navy + Black 100% Supima Cotton Classic V-Neck,MarchTee,v,core-pack,XL,"₹5,300","₹4,500",AVAILABLE
MT14,Pack of 3  Grey + Navy + Black 100% Supima Cotton Classic V-Neck,MarchTee,v,core-pack,2XL,"₹5,300","₹4,500",AVAILABLE
